epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1832.42,0.7303,0.51162,1.00756,0.85976,0.94155,0.95856,0.81267,0.65395,0.4394,0.97286,0.000231088,0.000231088,0.000231088
82,1854.44,0.75551,0.53081,1.02341,0.83104,0.93743,0.95401,0.81792,0.62071,0.46389,0.96253,0.000220089,0.000220089,0.000220089
83,1877.61,0.75197,0.51235,1.01718,0.86578,0.85351,0.9437,0.81401,0.63266,0.48666,0.94711,0.00020909,0.00020909,0.00020909
84,1900.73,0.72244,0.4912,1.00621,0.89008,0.90912,0.95942,0.81129,0.65913,0.44877,0.96679,0.000198091,0.000198091,0.000198091
85,1922.92,0.72453,0.51343,1.00603,0.86322,0.92981,0.9463,0.80782,0.63057,0.4469,0.95321,0.000187092,0.000187092,0.000187092
86,1945.36,0.71962,0.4947,1.00116,0.85092,0.90439,0.94495,0.81778,0.61515,0.47517,0.93858,0.000176094,0.000176094,0.000176094
87,1968.52,0.72266,0.49972,1.00746,0.8522,0.93156,0.95975,0.82663,0.63616,0.44294,0.95128,0.000165095,0.000165095,0.000165095
88,1990.54,0.71894,0.50186,1.00757,0.79553,0.9815,0.95496,0.81646,0.63772,0.43397,0.95963,0.000154096,0.000154096,0.000154096
89,2012.85,0.72683,0.50262,1.01741,0.86142,0.93545,0.95067,0.82123,0.61377,0.42223,0.94329,0.000143097,0.000143097,0.000143097
90,2035.43,0.7145,0.48353,1.0096,0.87643,0.92545,0.95885,0.81836,0.62802,0.41996,0.94898,0.000132098,0.000132098,0.000132098
91,2060.24,0.64671,0.33685,0.95226,0.89031,0.90271,0.96678,0.83757,0.61038,0.45091,0.93985,0.000121099,0.000121099,0.000121099
92,2080.88,0.63822,0.32882,0.95663,0.84039,0.90625,0.93845,0.80019,0.63059,0.49204,0.95265,0.0001101,0.0001101,0.0001101
93,2103.05,0.61973,0.31676,0.95086,0.85692,0.94056,0.96128,0.82066,0.62704,0.43081,0.95435,9.91012e-05,9.91012e-05,9.91012e-05
94,2125.33,0.60426,0.31414,0.93715,0.87314,0.92649,0.96788,0.82745,0.62704,0.4397,0.95394,8.81023e-05,8.81023e-05,8.81023e-05
95,2146.33,0.60857,0.31477,0.9355,0.86834,0.95308,0.95787,0.82669,0.61051,0.41944,0.9429,7.71034e-05,7.71034e-05,7.71034e-05
96,2168.41,0.59828,0.30639,0.94011,0.85193,0.93837,0.9562,0.82077,0.61628,0.43589,0.94509,6.61045e-05,6.61045e-05,6.61045e-05
97,2190.18,0.59537,0.30061,0.93424,0.85166,0.93384,0.95542,0.81777,0.61706,0.4371,0.94663,5.51056e-05,5.51056e-05,5.51056e-05
98,2211.08,0.58886,0.29601,0.9231,0.85985,0.92542,0.95336,0.81987,0.61965,0.437,0.9517,4.41067e-05,4.41067e-05,4.41067e-05
99,2233.15,0.58779,0.30002,0.92793,0.848,0.93895,0.95473,0.82187,0.61597,0.43593,0.95225,3.31078e-05,3.31078e-05,3.31078e-05
100,2254.9,0.58582,0.29593,0.92054,0.84289,0.93808,0.95329,0.8187,0.62213,0.44658,0.95395,2.21089e-05,2.21089e-05,2.21089e-05
